"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"111",10,18,"F","Contrôle","A","leading_3","Quasiment pleine",1,3,"leading",0,2,1,1
"112",10,18,"F","Contrôle","A","leading_4","Tête",1,3,"leading",0,2,1,1
"113",10,18,"F","Contrôle","A","misleading_1","Police",1,3,"misleading",0,2,-2,0
"114",10,18,"F","Contrôle","A","misleading_2","1er étage",1,3,"misleading",0,2,-2,0
"115",10,18,"F","Contrôle","A","misleading_3","""à bas les députés""",0,5,"misleading",0,2,-2,0
"116",10,18,"F","Contrôle","A","misleading_4","bleue",1,3,"misleading",0,2,-2,0
"117",10,18,"F","Contrôle","A","neutral_1","Homme",1,4,"neutral",0,2,1,-1
"118",10,18,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,3,"neutral",0,2,1,-1
"119",10,18,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"120",10,18,"F","Contrôle","A","neutral_4","matraque",1,3,"neutral",0,2,1,-1
"121",11,18,"F","Contrôle","A","leading_1","3",1,4,"leading",0,2,1,1
"122",11,18,"F","Contrôle","A","leading_2","Front",1,5,"leading",0,2,1,1
"123",11,18,"F","Contrôle","A","leading_3","Quasiment pleine",1,4,"leading",0,2,1,1
"124",11,18,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"125",11,18,"F","Contrôle","A","misleading_1","Journalistes",0,5,"misleading",0,2,-2,0
"126",11,18,"F","Contrôle","A","misleading_2","1er étage",1,4,"misleading",0,2,-2,0
"127",11,18,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,5,"misleading",0,2,-2,0
"128",11,18,"F","Contrôle","A","misleading_4","blanche",0,5,"misleading",0,2,-2,0
"129",11,18,"F","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"130",11,18,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,3,"neutral",0,2,1,-1
"131",11,18,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"132",11,18,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"133",12,20,"F","Contrôle","A","leading_1","3",1,4,"leading",0,2,1,1
"134",12,20,"F","Contrôle","A","leading_2","Front",1,5,"leading",0,2,1,1
"135",12,20,"F","Contrôle","A","leading_3","Quasiment pleine",1,4,"leading",0,2,1,1
"136",12,20,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"137",12,20,"F","Contrôle","A","misleading_1","Journalistes",0,5,"misleading",0,2,-2,0
"138",12,20,"F","Contrôle","A","misleading_2","2ème étage",0,5,"misleading",0,2,-2,0
"139",12,20,"F","Contrôle","A","misleading_3","""à bas les députés""",0,4,"misleading",0,2,-2,0
"140",12,20,"F","Contrôle","A","misleading_4","bleue",1,5,"misleading",0,2,-2,0
"141",12,20,"F","Contrôle","A","neutral_1","Homme",1,4,"neutral",0,2,1,-1
"142",12,20,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,3,"neutral",0,2,1,-1
"143",12,20,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"144",12,20,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"145",13,18,"M","Contrôle","A","leading_1","3",1,3,"leading",0,2,1,1
"146",13,18,"M","Contrôle","A","leading_2","Bras",0,4,"leading",0,2,1,1
"147",13,18,"M","Contrôle","A","leading_3","Quasiment pleine",1,3,"leading",0,2,1,1
"148",13,18,"M","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"149",13,18,"M","Contrôle","A","misleading_1","Journalistes",0,5,"misleading",0,2,-2,0
"150",13,18,"M","Contrôle","A","misleading_2","1er étage",1,1,"misleading",0,2,-2,0
