"","ppt","sex","age","condition","item_type","item","resp","item_type_rc_1","item_type_rc_2","cond_rc"
"184","C4","F",18,"Control","Studied","Amende",4,1,-1,0.5
"185","C4","F",18,"Control","Unstudied","Arbre",2,-1,-1,0.5
"186","C4","F",18,"Control","Unstudied","Argent",2,-1,-1,0.5
"187","C4","F",18,"Control","Unstudied","Armée",2,-1,-1,0.5
"188","C4","F",18,"Control","Unstudied","Bain",2,-1,-1,0.5
"189","C4","F",18,"Control","Studied","Barrique",3,1,-1,0.5
"190","C4","F",18,"Control","Unstudied","Bois",3,-1,-1,0.5
"191","C4","F",18,"Control","Studied","Botte",4,1,-1,0.5
"192","C4","F",18,"Control","Studied","Bureau",4,1,-1,0.5
"193","C4","F",18,"Control","Unstudied","Canon",2,-1,-1,0.5
"194","C4","F",18,"Control","Studied","Chaise",3,1,-1,0.5
"195","C4","F",18,"Control","Studied","Chalet",3,1,-1,0.5
"196","C4","F",18,"Control","Lure","Chaussure",4,0,2,0.5
"197","C4","F",18,"Control","Unstudied","Chêne",2,-1,-1,0.5
"198","C4","F",18,"Control","Studied","Clé",4,1,-1,0.5
"199","C4","F",18,"Control","Studied","Clocher",4,1,-1,0.5
"200","C4","F",18,"Control","Studied","Couverture",2,1,-1,0.5
"201","C4","F",18,"Control","Studied","Croix",4,1,-1,0.5
"202","C4","F",18,"Control","Lure","Eglise",4,0,2,0.5
"203","C4","F",18,"Control","Lure","Fauteuil",4,0,2,0.5
"204","C4","F",18,"Control","Studied","Fenêtre",4,1,-1,0.5
"205","C4","F",18,"Control","Unstudied","Feu",2,-1,-1,0.5
"206","C4","F",18,"Control","Unstudied","Flamme",2,-1,-1,0.5
"207","C4","F",18,"Control","Unstudied","Forêt",3,-1,-1,0.5
"208","C4","F",18,"Control","Unstudied","Fumée",2,-1,-1,0.5
"209","C4","F",18,"Control","Unstudied","Fusil",2,-1,-1,0.5
"210","C4","F",18,"Control","Unstudied","Gare",1,-1,-1,0.5
"211","C4","F",18,"Control","Unstudied","Incendie",3,-1,-1,0.5
"212","C4","F",18,"Control","Studied","Ivresse",4,1,-1,0.5
"213","C4","F",18,"Control","Lure","Laine",2,0,2,0.5
"214","C4","F",18,"Control","Unstudied","Lavande",2,-1,-1,0.5
"215","C4","F",18,"Control","Studied","Luge",2,1,-1,0.5
"216","C4","F",18,"Control","Unstudied","Métal",2,-1,-1,0.5
"217","C4","F",18,"Control","Unstudied","Métro",2,-1,-1,0.5
"218","C4","F",18,"Control","Studied","Miel",4,1,-1,0.5
"219","C4","F",18,"Control","Studied","Moteur",4,1,-1,0.5
"220","C4","F",18,"Control","Unstudied","Mousse",2,-1,-1,0.5
"221","C4","F",18,"Control","Studied","Mouton",4,1,-1,0.5
"222","C4","F",18,"Control","Lure","Neige",3,0,2,0.5
"223","C4","F",18,"Control","Studied","Nid",4,1,-1,0.5
"224","C4","F",18,"Control","Unstudied","Or",2,-1,-1,0.5
"225","C4","F",18,"Control","Studied","Pantoufle",4,1,-1,0.5
"226","C4","F",18,"Control","Studied","Pied",4,1,-1,0.5
"227","C4","F",18,"Control","Lure","Porte",4,0,2,0.5
"228","C4","F",18,"Control","Studied","Prêtre",4,1,-1,0.5
"229","C4","F",18,"Control","Studied","Reine",4,1,-1,0.5
"230","C4","F",18,"Control","Unstudied","Salaire",2,-1,-1,0.5
"231","C4","F",18,"Control","Unstudied","Savon",2,-1,-1,0.5
"232","C4","F",18,"Control","Studied","Semelle",4,1,-1,0.5
"233","C4","F",18,"Control","Studied","Seuil",4,1,-1,0.5
"234","C4","F",18,"Control","Studied","Ski",4,1,-1,0.5
"235","C4","F",18,"Control","Unstudied","Soldat",2,-1,-1,0.5
"236","C4","F",18,"Control","Unstudied","Train",2,-1,-1,0.5
"237","C4","F",18,"Control","Studied","Tricot",4,1,-1,0.5
"238","C4","F",18,"Control","Lure","Vin",4,0,2,0.5
"239","C4","F",18,"Control","Lure","Voiture",1,0,2,0.5
"240","C4","F",18,"Control","Unstudied","Wagon",2,-1,-1,0.5
"241","C5","F",19,"Control","Lure","Abeille",4,0,2,0.5
"242","C5","F",19,"Control","Studied","Accident",4,1,-1,0.5
"243","C5","F",19,"Control","Studied","Alcool",4,1,-1,0.5
"244","C5","F",19,"Control","Studied","Amende",4,1,-1,0.5
"245","C5","F",19,"Control","Unstudied","Arbre",2,-1,-1,0.5
"246","C5","F",19,"Control","Unstudied","Argent",1,-1,-1,0.5
"247","C5","F",19,"Control","Unstudied","Armée",1,-1,-1,0.5
"248","C5","F",19,"Control","Unstudied","Bain",1,-1,-1,0.5
"249","C5","F",19,"Control","Studied","Barrique",1,1,-1,0.5
"250","C5","F",19,"Control","Unstudied","Bois",1,-1,-1,0.5
"251","C5","F",19,"Control","Studied","Botte",4,1,-1,0.5
"252","C5","F",19,"Control","Studied","Bureau",4,1,-1,0.5
"253","C5","F",19,"Control","Unstudied","Canon",1,-1,-1,0.5
"254","C5","F",19,"Control","Studied","Chaise",2,1,-1,0.5
"255","C5","F",19,"Control","Studied","Chalet",4,1,-1,0.5
"256","C5","F",19,"Control","Lure","Chaussure",4,0,2,0.5
"257","C5","F",19,"Control","Unstudied","Chêne",1,-1,-1,0.5
"258","C5","F",19,"Control","Studied","Clé",4,1,-1,0.5
"259","C5","F",19,"Control","Studied","Clocher",1,1,-1,0.5
"260","C5","F",19,"Control","Studied","Couverture",1,1,-1,0.5
"261","C5","F",19,"Control","Studied","Croix",1,1,-1,0.5
"262","C5","F",19,"Control","Lure","Eglise",4,0,2,0.5
"263","C5","F",19,"Control","Lure","Fauteuil",4,0,2,0.5
"264","C5","F",19,"Control","Studied","Fenêtre",4,1,-1,0.5
"265","C5","F",19,"Control","Unstudied","Feu",1,-1,-1,0.5
"266","C5","F",19,"Control","Unstudied","Flamme",4,-1,-1,0.5
"267","C5","F",19,"Control","Unstudied","Forêt",1,-1,-1,0.5
"268","C5","F",19,"Control","Unstudied","Fumée",1,-1,-1,0.5
"269","C5","F",19,"Control","Unstudied","Fusil",1,-1,-1,0.5
"270","C5","F",19,"Control","Unstudied","Gare",1,-1,-1,0.5
"271","C5","F",19,"Control","Unstudied","Incendie",4,-1,-1,0.5
"272","C5","F",19,"Control","Studied","Ivresse",4,1,-1,0.5
"273","C5","F",19,"Control","Lure","Laine",4,0,2,0.5
"274","C5","F",19,"Control","Unstudied","Lavande",1,-1,-1,0.5
"275","C5","F",19,"Control","Studied","Luge",4,1,-1,0.5
"276","C5","F",19,"Control","Unstudied","Métal",1,-1,-1,0.5
"277","C5","F",19,"Control","Unstudied","Métro",1,-1,-1,0.5
"278","C5","F",19,"Control","Studied","Miel",4,1,-1,0.5
"279","C5","F",19,"Control","Studied","Moteur",4,1,-1,0.5
"280","C5","F",19,"Control","Unstudied","Mousse",1,-1,-1,0.5
"281","C5","F",19,"Control","Studied","Mouton",2,1,-1,0.5
"282","C5","F",19,"Control","Lure","Neige",4,0,2,0.5
"283","C5","F",19,"Control","Studied","Nid",4,1,-1,0.5
"284","C5","F",19,"Control","Unstudied","Or",1,-1,-1,0.5
"285","C5","F",19,"Control","Studied","Pantoufle",4,1,-1,0.5
"286","C5","F",19,"Control","Studied","Pied",4,1,-1,0.5
"287","C5","F",19,"Control","Lure","Porte",4,0,2,0.5
"288","C5","F",19,"Control","Studied","Prêtre",1,1,-1,0.5
"289","C5","F",19,"Control","Studied","Reine",4,1,-1,0.5
"290","C5","F",19,"Control","Unstudied","Salaire",1,-1,-1,0.5
"291","C5","F",19,"Control","Unstudied","Savon",1,-1,-1,0.5
"292","C5","F",19,"Control","Studied","Semelle",4,1,-1,0.5
"293","C5","F",19,"Control","Studied","Seuil",1,1,-1,0.5
"294","C5","F",19,"Control","Studied","Ski",4,1,-1,0.5
"295","C5","F",19,"Control","Unstudied","Soldat",1,-1,-1,0.5
"296","C5","F",19,"Control","Unstudied","Train",4,-1,-1,0.5
"297","C5","F",19,"Control","Studied","Tricot",1,1,-1,0.5
"298","C5","F",19,"Control","Lure","Vin",4,0,2,0.5
"299","C5","F",19,"Control","Lure","Voiture",4,0,2,0.5
"300","C5","F",19,"Control","Unstudied","Wagon",1,-1,-1,0.5
"301","C6","F",21,"Control","Lure","Abeille",2,0,2,0.5
"302","C6","F",21,"Control","Studied","Accident",4,1,-1,0.5
"303","C6","F",21,"Control","Studied","Alcool",4,1,-1,0.5
"304","C6","F",21,"Control","Studied","Amende",4,1,-1,0.5
"305","C6","F",21,"Control","Unstudied","Arbre",4,-1,-1,0.5
"306","C6","F",21,"Control","Unstudied","Argent",1,-1,-1,0.5
"307","C6","F",21,"Control","Unstudied","Armée",1,-1,-1,0.5
"308","C6","F",21,"Control","Unstudied","Bain",1,-1,-1,0.5
"309","C6","F",21,"Control","Studied","Barrique",1,1,-1,0.5
"310","C6","F",21,"Control","Unstudied","Bois",2,-1,-1,0.5
"311","C6","F",21,"Control","Studied","Botte",4,1,-1,0.5
"312","C6","F",21,"Control","Studied","Bureau",1,1,-1,0.5
"313","C6","F",21,"Control","Unstudied","Canon",1,-1,-1,0.5
"314","C6","F",21,"Control","Studied","Chaise",4,1,-1,0.5
"315","C6","F",21,"Control","Studied","Chalet",4,1,-1,0.5
"316","C6","F",21,"Control","Lure","Chaussure",4,0,2,0.5
"317","C6","F",21,"Control","Unstudied","Chêne",4,-1,-1,0.5
"318","C6","F",21,"Control","Studied","Clé",1,1,-1,0.5
"319","C6","F",21,"Control","Studied","Clocher",4,1,-1,0.5
"320","C6","F",21,"Control","Studied","Couverture",4,1,-1,0.5
"321","C6","F",21,"Control","Studied","Croix",4,1,-1,0.5
"322","C6","F",21,"Control","Lure","Eglise",1,0,2,0.5
"323","C6","F",21,"Control","Lure","Fauteuil",4,0,2,0.5
"324","C6","F",21,"Control","Studied","Fenêtre",4,1,-1,0.5
"325","C6","F",21,"Control","Unstudied","Feu",1,-1,-1,0.5
"326","C6","F",21,"Control","Unstudied","Flamme",2,-1,-1,0.5
"327","C6","F",21,"Control","Unstudied","Forêt",1,-1,-1,0.5
"328","C6","F",21,"Control","Unstudied","Fumée",2,-1,-1,0.5
"329","C6","F",21,"Control","Unstudied","Fusil",1,-1,-1,0.5
"330","C6","F",21,"Control","Unstudied","Gare",2,-1,-1,0.5
"331","C6","F",21,"Control","Unstudied","Incendie",4,-1,-1,0.5
"332","C6","F",21,"Control","Studied","Ivresse",1,1,-1,0.5
"333","C6","F",21,"Control","Lure","Laine",4,0,2,0.5
"334","C6","F",21,"Control","Unstudied","Lavande",1,-1,-1,0.5
"335","C6","F",21,"Control","Studied","Luge",4,1,-1,0.5
"336","C6","F",21,"Control","Unstudied","Métal",2,-1,-1,0.5
"337","C6","F",21,"Control","Unstudied","Métro",2,-1,-1,0.5
